OID,SUMACCIDEN,CITY,CITYCODE,MUNITYPE,DISTRICT,MUNICIPAL,MUNICODE,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,AreaSQKM,YEARMONTH,Shape_Length,Shape_Area
-1,128,אבו גוש,472,מועצה מקומית,ירושלים,אבו גוש,0472,0,4,166,23,38,114,10,170,223,12,7,2,125,170,67.680408698223502,1.891241534470222,202308,10069.408779572060666,1891241.534470222424716
-1,298,אבו סנאן,473,מועצה מקומית,צפון,אבו סנאן,0473,4,5,560,26,131,412,24,569,531,10,10,7,341,412,44.507363814039088,6.695521245542765,202308,20575.412636152592313,6695521.245542764663696
-1,235,אבן יהודה,182,מועצה מקומית,מרכז,אבן יהודה,0182,3,8,297,31,49,205,42,308,447,29,19,6,260,353,28.431109887116190,8.265593602678605,202308,17330.657428265254566,8265593.602678605355322
-1,1057,אום אל פחם,2710,עירייה,חיפה,אום אל פחם,2710,5,56,1676,160,486,1178,59,1737,1818,71,62,12,1053,1442,40.609665529806669,26.028286276432969,202308,44152.451510802377015,26028286.276432968676090
-1,362,אופקים,31,עירייה,דרום,אופקים,0031,3,22,422,75,88,301,45,447,605,8,18,25,313,467,34.876356698126777,10.379524533864030,202308,14685.338229764516655,10379524.533864030614495
-1,1035,אור יהודה,2400,עירייה,תל אביב,אור יהודה,2400,4,43,1159,149,130,890,141,1206,1837,155,64,35,955,1451,155.320515149647264,6.663640015633508,202308,15178.692530009049733,6663640.015633507631719
-1,406,אור עקיבא,1020,עירייה,חיפה,אור עקיבא,1020,2,23,496,75,85,353,71,521,689,19,15,31,385,544,73.205820244929967,5.546007115849759,202308,13757.482243260425093,5546007.115849759429693
-1,286,אזור,565,מועצה מקומית,תל אביב,אזור,0565,8,16,318,41,33,275,25,342,505,71,11,16,231,407,129.045574255149916,2.216271279745856,202308,8650.436299365481318,2216271.279745856299996
-1,1335,אילת,2600,עירייה,דרום,אילת,2600,4,46,1612,245,278,1183,150,1662,2265,236,35,141,977,1831,13.262852088675203,100.657082735614694,202308,92453.002365120599279,100657082.735614687204361
-1,239,אכסאל,478,מועצה מקומית,צפון,אכסאל,0478,0,14,331,29,79,246,13,345,419,8,8,8,242,336,26.250397112446024,9.104624169159088,202308,15949.093683430000965,9104624.169159088283777
