OID,SUMACCIDEN,ID,CITY,MainUse,POP_2018,TAZAREA,USETYPE,CITYCODE,USETYPECOD,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,YEARMONTH,Shape_Length,Shape_Area
-1,56,544,ראשון לציון,מגורים,9948,852978,מגורים,8300,1,0,14,51,25,13,37,14,65,89,22,1,4,40,75,65.652368061106259,202308,3765.786446115574563,852977.610006050905213
-1,11,2172,טבריה,מגורים,6378,1475818,מגורים,6700,1,0,1,19,1,4,16,0,20,23,2,0,2,11,15,7.453496000361264,202308,6981.506525870123369,1475817.522336745169014
-1,20,1186,ירושלים,מגורים,12277,346241,מגורים,3000,1,0,4,25,11,9,14,5,29,32,2,0,1,17,27,57.763205333113930,202308,3958.161078102537886,346241.173505906423088
-1,10,137,הרצלייה,מגורים,5341,499512,מגורים,6400,1,0,0,10,5,0,6,3,10,16,1,0,1,10,12,20.019540779226162,202308,3065.801740193299338,499511.957356023951434
-1,44,1828,קריית אתא,שטח פתוח,0,508601,פנאי/טבע/ספורט,6800,3,0,10,106,0,13,92,11,116,97,2,3,0,68,79,86.511779838626751,202308,3692.333819411061995,508601.257332523295190
-1,24,779,אשדוד,מגורים,4250,339317,מגורים,70,1,0,3,39,6,5,31,5,42,44,3,3,1,27,41,70.730300577064213,202308,2799.189187305653832,339317.093299367406871
-1,0,2407,באר שבע,שטח פתוח,0,681282,פנאי/טבע/ספורט,9000,3,,,,,,,,,,,,,,,0.000000000000000,202308,4962.864573741636377,681282.354987715836614
-1,29,1421,טל שחר נחשון בקוע נווה שלום,מגורים,2992,28874994,מגורים,0,1,1,8,75,0,11,68,5,84,61,2,3,1,39,53,1.004329220994735,202308,34926.830927231058013,28874993.770744860172272
-1,75,1039,תל אביב -יפו,מגורים,1737,230938,מגורים,5000,1,1,14,79,7,4,75,14,94,164,30,2,5,73,128,324.762260576520077,202308,1966.358977057086804,230938.163402544101700
-1,32,246,בני ברק,מגורים,19257,435224,מגורים,6100,1,0,7,30,27,18,14,4,37,42,6,0,4,16,36,73.525413929846806,202308,2970.819370144575714,435223.663351726660039
-1,6,1665,דאהרייה,לא ידוע,0,58946757,עתידי/לא ידוע,0,5,0,0,14,0,2,12,0,14,11,0,0,0,7,9,0.101786770900879,202308,40071.507402210219880,58946756.507707998156548
-1,22,872,תל מונד,מגורים,6431,2870532,מגורים,154,1,0,4,25,4,5,20,3,29,42,3,1,2,22,33,7.664084120625365,202308,12031.706896758641960,2870532.167150178924203
-1,3,2244,חריש,מגורים,3785,968525,מגורים,1247,1,1,0,3,3,2,2,0,4,4,1,0,0,2,4,3.097492081409944,202308,4150.275780496822335,968525.478403945802711
-1,4,1514,דאר סלאח,לא ידוע,0,10193417,עתידי/לא ידוע,0,5,0,2,7,0,2,7,0,9,6,0,0,0,2,3,0.392410112166812,202308,15875.394025431218324,10193417.233599759638309
-1,10,465,נצר סרני,מגורים,823,2787017,מגורים,0,1,1,6,8,2,0,15,0,15,18,0,1,0,4,6,3.588065902023320,202308,9408.084584137117417,2787016.814368145540357
-1,0,1132,ירושלים,מגורים,5935,350784,מגורים,3000,1,,,,,,,,,,,,,,,0.000000000000000,202308,3081.988916231819530,350783.807113571034279
-1,67,83,תל אביב -יפו,מגורים,1997,200117,מגורים,5000,1,0,13,70,28,28,43,9,83,115,27,0,8,41,93,334.804429999026922,202308,1981.948448908439104,200116.826411749469116
-1,11,1774,טירת כרמל,תעשיה,0,394531,תעשיה/מסחר/מתקנים,2100,4,0,2,9,10,3,7,1,11,12,0,0,0,8,10,27.881173235505809,202308,2719.150693227915781,394531.460605532978661
-1,4,2479,אשקלון,מגורים,11875,4025249,מגורים,7100,1,0,0,5,1,0,5,0,5,7,1,2,0,4,7,0.993727243893312,202308,8992.237761778240383,4025249.407803741283715
-1,2,725,שוהם,מגורים,5479,929400,מגורים,1304,1,0,0,3,1,0,3,0,3,4,0,0,0,1,1,2.151927000612043,202308,4615.327013508617711,929399.556505015003495
-1,4,2081,כרמיאל,מגורים,5626,924397,מגורים,1139,1,0,0,7,3,2,5,0,7,6,0,0,0,5,6,4.327146582846191,202308,4838.365903101530421,924396.695008420618251
-1,0,1367,א-טירה מזרח,לא ידוע,0,2207487,עתידי/לא ידוע,0,5,,,,,,,,,,,,,,,0.000000000000000,202308,7693.915439864936161,2207486.643968624062836
-1,13,318,חולון,מגורים,2436,284410,מגורים,6600,1,2,1,13,3,3,7,6,16,27,5,0,2,7,15,45.708648749415644,202308,2601.368126623582157,284410.070209441415500
-1,8,1993,עברון מזרעה בן עמי,מגורים,5454,7953196,מגורים,0,1,0,0,19,0,1,14,4,19,19,2,0,0,17,19,1.005884932720420,202308,14509.366390014796707,7953195.976764427497983
-1,8,944,פלמחים,מגורים,658,6105517,מגורים,0,1,1,2,17,1,8,11,1,20,15,0,3,0,6,9,1.310290419518839,202308,13991.894258231683125,6105516.670829156413674
-1,16,1611,סענג'יל,לא ידוע,0,64309548,עתידי/לא ידוע,0,5,2,6,45,1,14,36,3,53,41,1,0,0,25,38,0.248796646541673,202308,42282.091927412817313,64309548.470220409333706
-1,8,2316,כחל,מגורים,425,20117263,מגורים,0,1,0,2,18,0,6,13,1,20,14,1,1,0,10,14,0.397668404340967,202308,34279.989595903694862,20117263.309510178864002
-1,9,562,ראשון לציון,מגורים,4407,528866,מגורים,8300,1,0,3,8,6,4,6,1,11,16,0,0,3,12,15,17.017546289849133,202308,3525.104278483438520,528865.903856447665021
-1,2,1204,ירושלים,שטח פתוח,0,1440959,פנאי/טבע/ספורט,3000,3,0,0,6,0,2,4,0,6,4,0,0,0,4,4,1.387964754934985,202308,5305.202708854343655,1440958.780033059185371
-1,39,2560,יישובים בדואים לא מוכרים,שטח פתוח,0,65835066,פנאי/טבע/ספורט,0,3,4,14,82,2,15,85,0,100,78,0,5,1,52,71,0.592389472244355,202308,63537.397161094988405,65835065.995083801448345
-1,41,155,כפר שמריהו,שדה תעופה,0,1168040,תעשיה/מסחר/מתקנים,267,4,0,7,65,0,7,59,6,72,97,12,0,0,48,66,35.101533539519522,202308,5227.192943795485007,1168040.135734799550846
-1,60,1846,יקנעם עילית,תעשיה,0,2213735,תעשיה/מסחר/מתקנים,240,4,1,10,147,5,27,122,7,158,128,1,5,0,92,109,27.103509447940297,202308,14635.271391991835117,2213735.461647371295840
